Nom,TEAM,POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage RateUsage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Armoni Brooks,Hou,G,"23,7",41,"16,8","35,1","17,3","8,1",19,"0,842",38,"0,605",213,"0,3","0,474","0,49","6,2",2,"6,5","1,2","10,5","0,51","0,2","0,56","5,9","100,8","111,9"
Dillon Brooks,Mem,G-F,"26,07",21,"27,9","58,2","28,8","9,1",72,"0,889",239,"0,469",101,"0,327","0,475","0,521","18,4","3,3","6,2","2,7","15,1","1,29","0,19","1,76","7,8","106,7","101,4"
Chaundee Brown Jr.,Lal,G,"23,2",2,"10,3","21,5","16,7","12,5",0,0,4,"0,25",3,0,"0,143","0,143",1,1,"5,2",0,0,0,0,"0,5",0,"27,2","118,2"
Charlie Brown Jr.,Dal,G,"24,04",3,"5,1","10,7","14,5",0,0,0,2,"0,5",3,0,"0,2","0,2","0,7","0,3","3,6","0,3","8,7","0,67","0,33",0,"3,1","55,3","91,3"
Chaundee Brown Jr.,Atl,G,"23,2",3,"27,7","57,7","14,5",0,6,"0,833",10,"0,3",15,"0,4","0,48","0,525","9,7","4,7","9,2","1,3","6,5","0,67",0,0,"5,6","117,4","108,2"
Charlie Brown Jr.,Phi,G,"24,04",15,"10,1",21,"11,8","12,7",8,"0,875",22,"0,318",9,"0,111","0,274","0,348","1,6",2,11,"0,3","3,5","0,47","0,2","0,33","3,9","90,2","101,5"
Greg Brown III,Por,F,"20,46",27,"7,6","15,8","20,9","9,2",28,"0,607",56,"0,536",21,"0,19","0,468","0,498","3,3",2,"14,5","0,3","5,3","0,22","0,33","0,33","6,6","104,6","103,9"
Troy Brown Jr.,Chi,G-F,"22,55",47,"18,1","37,7","12,3","9,2",25,"0,76",104,"0,481",101,"0,337","0,493","0,512","4,7","3,5","10,8","1,1",8,"0,55","0,09","0,47","5,8",109,"108,2"
Bruce Brown,Bro,G-F,"25,5",48,"20,9","43,5","13,6","10,2",48,"0,729",223,"0,516",39,"0,333","0,513","0,537","6,3","4,3",11,"1,3","8,3","1,02","0,56","0,67","6,3","112,5","102,2"
Jaylen Brown,Bos,G-F,"25,31",44,"34,4","71,6","30,5","12,3",214,"0,776",494,"0,53",333,"0,342","0,524","0,56","23,5","6,6","10,2","3,2","16,6","1,07","0,34","2,93","9,2","105,5","100,7"
