ID,Nom,Âge,Taille,Poids,Nationalité,Poste,Matchs,E,T,P,D,J,R,Temps,Club
11774,BIELLE-BIARREY Louis,18,184,79,France,Ailier,3,,,,,,,154,Bordeaux
12006,CHAMPION DE CRESPIGNY Nick,25,193,110,Australie,3ème ligne,10,,,,,,,698,Castres
12092,OVIEDO Joaquin,20,191,113,Argentine,3ème ligne,4,,,,,,,211,Perpignan
12252,VAITULUKINA Emmanuel,20,183,94,France,Centre,1,,,,,,,30,Perpignan
12284,TUWAÏ Petero,26,178,103,Fidji,Centre,1,,,,,,,80,Toulon
12297,MASSÉ Gatien,19,182,94,France,Centre,2,,,,,,,42,Bordeaux
12327,VAIOTU Aston,19,202,133,Australie,2ème ligne,2,,,,,,,4,Racing 92
12328,HEMERY Anthime,21,187,111,France,3ème ligne,9,2,,,,,,405,Racing 92
12330,LERAÎTRE Paul,21,187,84,France,Arrière,2,,,,,,,80,Racing 92
12342,GONZALEZ Fabio,21,181,116,France,Pilier,2,,,,,,,0,Toulon
12344,COULON Jules,19,189,105,France,3ème ligne,1,,,,,,,20,Toulon
12384,PEREZ Alexandre,19,173,74,France,Ouverture,3,,,,,1,,81,Perpignan
12470,RIMET Liam,18,173,74,France,Mêlée,3,,,,,,,11,Lyon
12574,LAM Dylan,25,190,110,Nouvelle-Zélande,3ème ligne,1,,,,,,,24,Brive
